ts_open,ts_close,symbol,tf,side,entry,exit,qty,notional,pnl_usdt,reason,equity_after
2026-04-17T08:00:00+00:00,2026-04-17T14:01:00.392075+00:00,ETH/USDT,1h,long,2354.8700,2425.5486,0.264981,624.00,18.47,tp,653.02
2026-04-17T14:00:00+00:00,2026-04-17T18:01:01.474480+00:00,XRP/USDT,1h,long,1.4988,1.4818,603.138203,903.98,-10.59,sl,640.85
2026-04-17T13:00:00+00:00,2026-04-18T04:01:01.234356+00:00,XRP/USDT,1h,long,1.4874,1.4712,635.210369,944.81,-10.64,sl,629.28
2026-04-17T14:00:00+00:00,2026-04-18T09:01:01.191228+00:00,ETH/USDT,1h,long,2447.2500,2397.7282,0.202591,495.79,-10.23,sl,618.82
