asset,tf,leverage,channel,sl_atr,rr,adx_min,rsi,macd,return_pct,monthly_pct,wr,actual_rr,trades,tpd,liqs,ev
ETHUSDT,1h,15,12,1.5,3.0,25,on,on,194.87,4.619,36.94,1.399,314,0.431,3,-0.1139
ETHUSDT,1h,10,12,1.5,3.0,25,off,on,193.54,4.599,36.94,1.394,314,0.431,2,-0.1154
ETHUSDT,1h,10,12,1.5,3.0,25,on,on,193.54,4.599,36.94,1.394,314,0.431,2,-0.1154
XRPUSDT,1h,15,8,2.0,2.0,25,on,off,189.75,4.542,44.67,1.543,291,0.399,16,0.1361
ETHUSDT,1h,15,8,1.5,3.0,25,off,on,188.37,4.521,36.86,1.372,331,0.454,3,-0.1256
ETHUSDT,1h,15,8,1.5,3.0,25,on,on,188.37,4.521,36.86,1.372,331,0.454,3,-0.1256
ETHUSDT,1h,20,8,2.0,3.0,25,off,off,187.88,4.514,39.53,1.343,425,0.583,22,-0.074
ETHUSDT,1h,10,8,1.5,3.0,25,on,on,187.07,4.502,36.86,1.369,331,0.454,2,-0.127
ETHUSDT,1h,10,8,1.5,3.0,25,off,on,187.07,4.502,36.86,1.369,331,0.454,2,-0.127
XRPUSDT,1h,10,8,1.5,2.5,25,off,on,186.91,4.499,40.0,1.529,250,0.343,3,0.0116
XRPUSDT,1h,10,8,1.5,2.5,25,on,on,186.91,4.499,40.0,1.529,250,0.343,3,0.0116
XRPUSDT,1h,10,12,1.5,2.5,off,on,on,183.94,4.454,19.51,4.996,41,0.056,0,0.1699
XRPUSDT,1h,10,12,1.5,2.5,off,off,on,183.94,4.454,19.51,4.996,41,0.056,0,0.1699
XRPUSDT,1h,20,12,1.5,2.5,off,off,on,183.85,4.453,19.51,4.992,41,0.056,0,0.1692
XRPUSDT,1h,20,12,1.5,2.5,off,on,on,183.85,4.453,19.51,4.992,41,0.056,0,0.1692
XRPUSDT,1h,15,12,1.5,2.5,off,on,on,183.85,4.453,19.51,4.992,41,0.056,0,0.1692
XRPUSDT,1h,15,12,1.5,2.5,off,off,on,183.85,4.453,19.51,4.992,41,0.056,0,0.1692
XRPUSDT,1h,15,8,1.5,3.0,off,on,off,182.66,4.434,22.03,3.871,59,0.081,0,0.0732
XRPUSDT,1h,20,8,1.5,3.0,off,on,off,182.66,4.434,22.03,3.871,59,0.081,0,0.0732
ETHUSDT,1h,15,16,2.0,3.0,25,on,off,181.85,4.422,40.16,1.336,366,0.502,5,-0.0617
XRPUSDT,1h,20,12,2.0,2.0,25,off,off,181.71,4.42,43.31,1.593,254,0.348,27,0.1228
XRPUSDT,1h,20,12,2.0,2.0,25,on,off,181.71,4.42,43.31,1.593,254,0.348,27,0.1228
ETHUSDT,1h,5,12,2.0,3.0,25,on,on,181.08,4.41,39.94,1.383,328,0.45,0,-0.0481
ETHUSDT,1h,5,12,2.0,3.0,25,off,on,181.08,4.41,39.94,1.383,328,0.45,0,-0.0481
ETHUSDT,1h,15,16,1.5,3.0,25,on,on,180.55,4.402,36.51,1.395,304,0.417,3,-0.1256
ETHUSDT,1h,15,16,1.5,3.0,25,off,on,180.55,4.402,36.51,1.395,304,0.417,3,-0.1256
XRPUSDT,1h,5,16,2.0,2.5,15,off,off,179.05,4.378,19.23,5.161,52,0.071,0,0.1848
XRPUSDT,1h,5,16,2.0,2.5,15,on,off,179.05,4.378,19.23,5.161,52,0.071,0,0.1848
ETHUSDT,1h,10,16,1.5,3.0,25,on,on,178.38,4.368,36.51,1.389,304,0.417,2,-0.1276
ETHUSDT,1h,10,16,1.5,3.0,25,off,on,178.38,4.368,36.51,1.389,304,0.417,2,-0.1276
XRPUSDT,1h,10,12,1.5,2.5,15,off,on,175.84,4.328,16.22,5.104,37,0.051,0,-0.0102
XRPUSDT,1h,10,12,1.5,2.5,15,on,on,175.84,4.328,16.22,5.104,37,0.051,0,-0.0102
XRPUSDT,1h,20,12,1.5,2.5,15,off,on,175.76,4.327,16.22,5.1,37,0.051,0,-0.0108
XRPUSDT,1h,15,12,1.5,2.5,15,off,on,175.76,4.327,16.22,5.1,37,0.051,0,-0.0108
XRPUSDT,1h,15,12,1.5,2.5,15,on,on,175.76,4.327,16.22,5.1,37,0.051,0,-0.0108
XRPUSDT,1h,20,12,1.5,2.5,15,on,on,175.76,4.327,16.22,5.1,37,0.051,0,-0.0108
XRPUSDT,1h,10,16,1.5,2.0,15,off,on,175.09,4.316,18.92,5.158,37,0.051,0,0.1649
XRPUSDT,1h,10,12,1.5,2.0,15,off,on,175.09,4.316,18.92,5.158,37,0.051,0,0.1649
XRPUSDT,1h,10,16,1.5,2.0,15,on,on,175.09,4.316,18.92,5.158,37,0.051,0,0.1649
XRPUSDT,1h,10,12,1.5,2.0,15,on,on,175.09,4.316,18.92,5.158,37,0.051,0,0.1649
XRPUSDT,1h,20,16,1.5,2.0,15,on,on,175.01,4.315,18.92,5.154,37,0.051,0,0.1642
XRPUSDT,1h,20,12,1.5,2.0,15,off,on,175.01,4.315,18.92,5.154,37,0.051,0,0.1642
XRPUSDT,1h,20,12,1.5,2.0,15,on,on,175.01,4.315,18.92,5.154,37,0.051,0,0.1642
XRPUSDT,1h,15,12,1.5,2.0,15,off,on,175.01,4.315,18.92,5.154,37,0.051,0,0.1642
XRPUSDT,1h,15,12,1.5,2.0,15,on,on,175.01,4.315,18.92,5.154,37,0.051,0,0.1642
XRPUSDT,1h,15,16,1.5,2.0,15,off,on,175.01,4.315,18.92,5.154,37,0.051,0,0.1642
XRPUSDT,1h,15,16,1.5,2.0,15,on,on,175.01,4.315,18.92,5.154,37,0.051,0,0.1642
XRPUSDT,1h,20,16,1.5,2.0,15,off,on,175.01,4.315,18.92,5.154,37,0.051,0,0.1642
XRPUSDT,1h,15,8,1.5,2.0,15,on,off,174.61,4.308,24.53,4.177,53,0.073,0,0.2697
XRPUSDT,1h,20,8,1.5,2.0,15,on,off,174.61,4.308,24.53,4.177,53,0.073,0,0.2697
XRPUSDT,1h,10,8,1.5,2.0,15,on,off,172.35,4.272,25.0,4.222,52,0.071,0,0.3054
XRPUSDT,1h,15,8,1.5,2.0,15,off,off,171.03,4.251,24.53,4.112,53,0.073,0,0.2539
XRPUSDT,1h,20,8,1.5,2.0,15,off,off,171.03,4.251,24.53,4.112,53,0.073,0,0.2539
